127.0.0.1 - - [30/Mar/2023:19:38:55 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:32 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:39 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:39 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:48 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:49 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:50 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:41:27 -0700] "POST /HW_2/NewPatient HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:41:27 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:41:35 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:41:41 -0700] "POST /HW_2/NewPatient HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:41:41 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:41:50 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:03 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:10 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:12 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:24 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:27 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:27 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:29 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:33 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:33 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:34 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:37 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:39 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:46 -0700] "POST /HW_2/NewPatient HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:46 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:59 -0700] "GET /HW_2/ReceiveSecondDose?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:42:59 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:43:55 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:02 -0700] "POST /HW_2/NewPatient HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:02 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:04 -0700] "GET /HW_2/ReceiveSecondDose?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:04 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:07 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:08 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:10 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:18 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:18 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:19 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:20 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:22 -0700] "GET /HW_2/ReceiveSecondDose?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:44:22 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 2968
